Ano de exibição,Título da obra,Público no ano de exibição,Renda (R$) no ano de exibição,Gênero
2019,Kardec,749256.0,11849901.0,Ficção
2019,Kung Fu Panda 3,348.0,6358.0,Animação
2019,La Cama,2068.0,28833.0,Ficção
2019,La Vida Útil - Um Conto de Cinema,12.0,40.0,Ficção
2019,Las Acacias,3.0,36.0,Ficção
2019,Las Ineses,897.0,10802.0,Ficção
2019,Legalidade,15993.0,223306.0,Ficção
2019,Legalize Já - Amizade Nunca Morre,32.0,160.0,Ficção
2019,Lembro Mais Dos Corvos,1994.0,12111.0,Documentário
2019,Leste Oeste,359.0,4611.0,Ficção
2019,Leto,84.0,934.0,Ficção
2019,Liberdade É Uma Grande Palavra,36.0,323.0,Documentário
2019,Link Perdido,19735.0,276575.0,Animação
2019,Lizzie,10968.0,196214.0,Ficção
2019,Longa Jornada Noite Adentro,1947.0,30227.0,Ficção
2019,Longe Da Árvore,4843.0,45470.0,Documentário
2019,Los Silencios,10049.0,138184.0,Ficção
2019,Los Territorios,14.0,32.0,Documentário
2019,Lucky,488.0,4760.0,Ficção
2019,Luna,1018.0,12400.0,Ficção
2019,Lámen Shop,34.0,170.0,Ficção
2019,Ma,35384.0,554368.0,Ficção
2019,Made In Italy,4873.0,89849.0,Ficção
2019,Mais Que Vencedores,746264.0,9634557.0,Ficção
2019,Mal Nosso,2333.0,40570.0,Ficção
2019,Maligno,187777.0,2801442.0,Ficção
2019,Malévola: Dona Do Mal,5786301.0,91400055.0,Ficção
2019,Mama Coronel,190.0,2847.0,Documentário
2019,Mamma Mia! Lá Vamos Nós De Novo,66.0,3437.0,Ficção
2019,Marcia Haydée,1420.0,23681.0,Documentário
2019,Maria Callas - Em Suas Próprias Palavras,3986.0,56822.0,Documentário
2019,Maria Do Caritó,40922.0,639161.0,Ficção
2019,Martin Eden,166.0,2370.0,Ficção
2019,Martírio,11.0,92.0,Documentário
2019,Marés,600.0,4332.0,Ficção
2019,Mata Negra,199.0,1472.0,Ficção
2019,Matrix,18260.0,277563.0,Ficção
